theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
2.500000000000000052e-03,1.000067116446646143e+00,-2.449457986177817192e-16,1.032890937299024134e-04,9.999882961002196646e-01,2.500016215460530364e-03,8.088123823590988026e-01,2.939244960216324531e-01,5.093436175913353958e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.719303962946173187e-02,-2.243413791685532122e+00,0.000000000000000000e+00
2.749999999999999840e-03,9.877714640450183659e-01,1.564476305013177970e-01,-1.563184478313786041e-01,9.876803803617375532e-01,2.750039762539070211e-03,7.668455969086174218e-01,3.242555653530740933e-01,5.539008565072133239e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.021027019994423135e-01,-2.223144307235352279e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.511541007675040627e-01,3.090487014920603182e-01,-3.088887926558129271e-01,9.510537485982575312e-01,3.000071580722019505e-03,7.197411384671298373e-01,3.624227398934826150e-01,5.921338119092175445e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.507102470826114704e-01,-2.147562546824991259e+00,0.000000000000000000e+00
3.250000000000000284e-03,8.911152773237226432e-01,4.540459122297230143e-01,-4.538509686850907832e-01,8.910103164881494342e-01,3.250112400652006243e-03,6.679548863244789692e-01,4.100093367720692994e-01,6.210705383408394731e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.084366808052688258e+00,-2.017953048553975393e+00,0.000000000000000000e+00
3.500000000000000073e-03,8.091319156201562945e-01,5.878687474644883615e-01,-5.876355179428097708e-01,8.090285711713176564e-01,3.500162723618887271e-03,6.123305078223787445e-01,4.687032878499987065e-01,6.366856187700402625e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.394616140039315777e+00,-1.836979153675621257e+00,0.000000000000000000e+00
3.749999999999999861e-03,7.072213947384564658e-01,7.072213947384562438e-01,-7.069481869959611808e-01,7.071271808825814187e-01,3.750222794151269589e-03,5.541909778677969189e-01,5.400784227761215028e-01,6.333937616535166848e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.673426451977636953e+00,-1.608669377354451369e+00,0.000000000000000000e+00
4.000000000000000083e-03,5.878920224231738434e-01,8.091639508524897106e-01,-8.088510432832424213e-01,5.878153036323769953e-01,4.000292583356632008e-03,4.954642666305670851e-01,6.249523858833264667e-01,6.032824180025239125e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.913426699250493801e+00,-1.338360314744033053e+00,0.000000000000000000e+00
4.250000000000000305e-03,4.540813931433724249e-01,8.911849125375985725e-01,-8.908348239459424889e-01,4.540308153453447293e-01,4.250371783674372975e-03,4.388645252534767449e-01,7.217298858977316822e-01,5.352605909985224120e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.108137745729011581e+00,-1.032593363463287117e+00,0.000000000000000000e+00
4.500000000000000527e-03,3.090841352317676982e-01,9.512631546048602171e-01,-9.508807337570178708e-01,3.090679757332413513e-01,4.500459814983233733e-03,3.881122037121890744e-01,8.227500301157314455e-01,4.152725674472503847e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.252187836488391603e+00,-6.989650386544222771e-01,0.000000000000000000e+00
4.749999999999999882e-03,1.564708162292625104e-01,9.879178529699444988e-01,-9.875101674695910825e-01,1.564963109206779224e-01,4.750555841293036159e-03,3.480083609439456604e-01,9.085364084231297710e-01,2.311963998048164326e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.341501590143765021e+00,-3.459334480695249736e-01,0.000000000000000000e+00
