vx,vy,vz
-3.174425376917683479e+03,2.525323902806727574e+02,3.127931604249713928e+03
-3.521975237473200650e+03,-2.107432041598924286e+02,2.734005220911681590e+03
-3.782790849561960385e+03,-6.688116677417888241e+02,2.272775471311291767e+03
-3.950451537241081951e+03,-1.110393951639178113e+03,1.755600460211296650e+03
-4.020830567487277676e+03,-1.524617151790370599e+03,1.195215688071426484e+03
-3.992196712526020292e+03,-1.901282238870824358e+03,6.054204116460172145e+02
-3.865256815163012106e+03,-2.231115181871900859e+03,7.378212742527188173e-01
-3.643138313447154815e+03,-2.505995281319941114e+03,-6.039425930342815718e+02
-3.331312160631273855e+03,-2.719155090726828348e+03,-1.193731677047533822e+03
-2.937458044618097574e+03,-2.865347005916741182e+03,-1.754107219684876782e+03
-2.471275231905560304e+03,-2.940972423811433600e+03,-2.271271505143655304e+03
-1.944243699239267698e+03,-2.944170294953278244e+03,-2.732491007740878104e+03
-1.369341439042124648e+03,-2.874862894394621890e+03,-3.126409868926712534e+03
-7.607249020018456349e+02,-2.734757689194778777e+03,-3.443329443367139902e+03
-1.333804456990790470e+02,-2.527305261330849589e+03,-3.675447037652779727e+03
4.972446304711874063e+02,-2.257614326001313202e+03,-3.817047970885422728e+03
1.115622383828184866e+03,-1.932325940167732142e+03,-3.864646235677358618e+03
1.706526503648830158e+03,-1.559449998959722279e+03,-3.817070302830906257e+03
2.255407159755764951e+03,-1.148168043566634424e+03,-3.675491961575750793e+03
2.748749204924497462e+03,-7.086072309558722964e+02,-3.443397486530699553e+03
3.174404920737754310e+03,-2.515910234577261804e+02,-3.126501838443810357e+03
3.521893120562564491e+03,2.116272720105709197e+02,-2.732608003804974032e+03
3.782657247000173356e+03,6.696415627474801795e+02,-2.271414925590237090e+03
3.950276104977996965e+03,1.111173811901248428e+03,-1.754278741021719043e+03
4.020622031944301852e+03,1.525351751097622810e+03,-1.193933192032739953e+03
3.991962595630263877e+03,1.901976625439130657e+03,-6.041760806143786340e+02
3.865003294955779893e+03,2.231774373497562465e+03,4.705211040723110139e-01
