nx,ny,nz
3.136812948104686916e-01,8.221071228379071005e-01,-4.751251665247864797e-01
3.073741743353946010e-01,8.629620088203581174e-01,-4.010208077947657879e-01
2.902467298804638496e-01,9.004490399215329122e-01,-3.239573464178375772e-01
2.623083581547545617e-01,9.334472380911461586e-01,-2.446846520363880062e-01
2.235771070305974106e-01,9.607686766847509663e-01,-1.641244257058076250e-01
1.741806854616444189e-01,9.811731383012713970e-01,-8.342878093407668505e-02
1.144680909930842344e-01,9.934188430687728166e-01,-4.007290892860069891e-03
4.511723109512193186e-02,9.963482405070686054e-01,7.248875151895975422e-02
-3.278169352963605093e-02,9.890006420773002072e-01,1.442327651403004229e-01
-1.176891467031495470e-01,9.707348259804854385e-01,2.093398251096074969e-01
-2.076431860500579929e-01,9.413376180587050834e-01,2.660221722235662778e-01
-3.003563558044260451e-01,9.010925280985073726e-01,3.127591970397125554e-01
-3.933721274564950243e-01,8.507883771598139244e-01,3.484501494189969906e-01
-4.842547285336585294e-01,7.916609895893444993e-01,3.725187719501026340e-01
-5.707772904669891068e-01,7.252773219074013511e-01,3.849494655328021819e-01
-6.510747503818903326e-01,6.533848739886883861e-01,3.862510528891082706e-01
-7.237388559254400722e-01,5.777551456288656517e-01,3.773606499399523306e-01
-7.878481203098396390e-01,5.000471367706091907e-01,3.595110573150262501e-01
-8.429398714112069646e-01,4.217079366041233679e-01,3.340879964775010369e-01
-8.889406613316515049e-01,3.439165120815023680e-01,3.024994766093656584e-01
-9.260742207175576279e-01,2.675675468380891431e-01,2.660716925969675573e-01
-9.547641316792484512e-01,1.932864865596684578e-01,2.259774036760968108e-01
-9.755436996638988667e-01,1.214649333684753585e-01,1.831959606756225767e-01
-9.889801916314980845e-01,5.230626573829753184e-02,1.384999462997722475e-01
-9.956160333766096437e-01,-1.412640293787318854e-02,9.246166137087688530e-02
-9.959263250937462342e-01,-7.786513063819187896e-02,4.547280963348427490e-02
-9.902901994544716091e-01,-1.389976859419311817e-01,-2.228041115222254530e-03
-9.789728699868313067e-01,-1.976346393425457149e-01,-5.052394641839010048e-02
-9.621153607168841937e-01,-2.538827520169144036e-01,-9.938601964530910382e-02
-9.397295512129177908e-01,-3.078238564547146616e-01,-1.488383148739441386e-01
-9.116970596372316882e-01,-3.594983950643053650e-01,-1.989205253235942772e-01
-8.777714218459341522e-01,-4.088931750851108049e-01,-2.496471557205967584e-01
-8.375838228861285373e-01,-4.559336222905039371e-01,-3.009615784523309578e-01
-7.906530848440621595e-01,-5.004817671579715466e-01,-3.526835694627722395e-01
-7.364004499090690548e-01,-5.423422178847288055e-01,-4.044493739315144776e-01
-6.741686689627058859e-01,-5.812792170243952228e-01,-4.556435861993006764e-01
-6.032429266648013932e-01,-6.170482208692076309e-01,-5.053211499146168517e-01
