x,y,z
5.004060682023505680e+06,-8.667287345422446728e+06,-1.733457469084490463e+07
7.654175121108991094e+06,-6.994961543894899078e+06,-1.712115241573756188e+07
1.011581992056509666e+07,-5.150399115523079410e+06,-1.648615570460267179e+07
1.232838838883853517e+07,-3.179018956854934804e+06,-1.544522596773767471e+07
1.423740925393122993e+07,-1.129359136205322575e+06,-1.402399680228807032e+07
1.579588606327181496e+07,9.481179595095718978e+05,-1.225746166681359708e+07
1.696545237507326901e+07,3.002267340664895251e+06,-1.018911173251114227e+07
1.771731457780897245e+07,4.982519522003374062e+06,-7.869865228217899799e+06
1.803295939451076835e+07,6.840124205046983436e+06,-5.356814633489067666e+06
1.790460887659559399e+07,8.529349114778500050e+06,-2.711822459788390901e+06
1.733541183177274466e+07,1.000860468758700229e+07,-1.698380528934530910e-08
1.633936701917188056e+07,1.124146711808364652e+07,2.711893756765004247e+06
1.494097993832278810e+07,1.219757473171875253e+07,5.357093913556936197e+06
1.317466149181485921e+07,1.285337570217319578e+07,7.870472015087504871e+06
1.108388307131242938e+07,1.319270871062196419e+07,1.019013875360009447e+07
8.720108562510251999e+06,1.320720217172752880e+07,1.225896771869920939e+07
6.141529248925589025e+06,1.289648204198187962e+07,1.402600271531809680e+07
3.411632484926502220e+06,1.226818288388376683e+07,1.544771392550306395e+07
5.976391794164450839e+05,1.133776167824490555e+07,1.648907180569582433e+07
-2.231151530805882998e+06,1.012811874180589244e+07,1.712441201807925850e+07
-5.005069631509914063e+06,8.669034897195184603e+06,1.733806979439037666e+07
-7.655791415266430937e+06,6.996438635194133967e+06,1.712476780448674411e+07
-1.011802396822352707e+07,5.151521291006529704e+06,1.648974772909119353e+07
-1.233111521262443997e+07,3.179722100220753346e+06,1.544864218145662546e+07
-1.424054966204063036e+07,1.129608243927509291e+06,1.402709013707234338e+07
-1.579929291193612665e+07,-9.483224491083230823e+05,1.226010534990558960e+07
-1.696895159588684142e+07,-3.002886575338634197e+06,1.019121329461853579e+07
-1.772072006415098906e+07,-4.983477223697168753e+06,7.871377913361603394e+06
-1.803609031251233816e+07,-6.841311800911732949e+06,5.357744694218496792e+06
-1.790730757166441903e+07,-8.530634711830869317e+06,2.712231202696504537e+06
-1.733756030620851368e+07,-1.000984510988086089e+07,1.910914896062021779e-08
-1.634090000141383149e+07,-1.124252180823444761e+07,-2.712148190426128451e+06
-1.494189285929463245e+07,-1.219832002565690689e+07,-5.357421241710909642e+06
-1.317501220568992756e+07,-1.285371786331349611e+07,-7.870681529672719538e+06
-1.108378684973416291e+07,-1.319259418187368847e+07,-1.019005029080882482e+07
-8.719726670804031193e+06,-1.320662377056022361e+07,-1.225843084486731328e+07
-6.141052181612643413e+06,-1.289548025728226081e+07,-1.402491319068095274e+07
-3.411259596621834207e+06,-1.226684198273536935e+07,-1.544602550452508219e+07
-5.975569087045990163e+05,-1.133620092761662975e+07,-1.648680192827985995e+07
2.230790444091413170e+06,-1.012647962000312842e+07,-1.712164062510741875e+07
5.004163620809915476e+06,-8.667465640630587935e+06,-1.733493128126118332e+07
7.654302308160996065e+06,-6.995077776999411173e+06,-1.712143691261240840e+07
1.011598261389704607e+07,-5.150481949697558768e+06,-1.648642085242288560e+07
1.232861990018077567e+07,-3.179078654758874327e+06,-1.544551600929722749e+07
1.423775741514262557e+07,-1.129386753522349987e+06,-1.402433974471729621e+07
1.579640439049384370e+07,9.481490711133211153e+05,-1.225786388394972496e+07
1.696619094305728748e+07,3.002398040306078736e+06,-1.018955530168594792e+07
1.771831156232912466e+07,4.982799897159176879e+06,-7.870308079405798577e+06
1.803423408293995634e+07,6.840607710110566579e+06,-5.357193288455307484e+06
1.790615671432700008e+07,8.530086469527501613e+06,-2.712056894461225718e+06
1.733720180057122931e+07,1.000963812655469030e+07,4.036216529777282195e-08
1.634134137346710265e+07,1.124282547173735872e+07,2.712221446269840002e+06
1.494305609184019454e+07,1.219926966992143542e+07,5.357838319172734395e+06
1.317673567887371965e+07,1.285539930676909909e+07,7.871711123296163045e+06
1.108583531796418503e+07,1.319503239278661087e+07,1.019193358165219240e+07
8.721808492748655379e+06,1.320977683260200359e+07,1.226135752723980322e+07
6.142842305155724287e+06,1.289923930412375741e+07,1.402900146847901866e+07
3.412426235070818104e+06,1.227103719834381714e+07,1.545130798940387741e+07
5.977894858801983064e+05,1.134061312929246761e+07,1.649321881305118650e+07
